timestamp,user,account,amount,description,hour,days_since_last_txn,user_amount_mean,user_amount_std,amount_zscore,anomaly_flag,anomaly_score,flag_reason
2025-01-17 08:00:00,user_8,Expenses,29703.580101934873,transaction,8,0.0,1133.0829177284884,3013.6584485925227,9.480336830323205,-1,0.7867991761523244,amount is 9.5 std devs from this user's normal amount
2025-05-15 15:00:00,user_19,AR,31108.304269303866,transaction,15,1.0,1239.1220200975667,3097.1946314332495,9.643947443943526,-1,0.7847493003515098,amount is 9.6 std devs from this user's normal amount
2025-01-09 17:00:00,user_9,Expenses,24851.435542289946,transaction,17,0.0,1191.1262513347021,2489.868461704272,9.502634237456935,-1,0.7822083123935579,amount is 9.5 std devs from this user's normal amount
2025-03-09 21:00:00,user_3,Revenue,25576.881001318165,transaction,21,2.0,1543.8492290938673,3764.006508883894,6.384960205435614,-1,0.7768975225907221,amount is 6.4 std devs from this user's normal amount
2025-03-17 11:00:00,user_3,Cash,28997.127296436178,transaction,11,5.0,1543.8492290938673,3764.006508883894,7.293631932502364,-1,0.7743023818630338,amount is 7.3 std devs from this user's normal amount
2025-04-18 21:00:00,user_17,Cash,12853.594309716616,transaction,21,3.0,1019.0270847930267,1410.157019996064,8.39237549940121,-1,0.7734885454062489,amount is 8.4 std devs from this user's normal amount
2025-01-26 15:00:00,user_11,AR,17905.820768821533,transaction,15,1.0,1122.0936012265258,1841.0072328295487,9.116600341541918,-1,0.7651902301701675,amount is 9.1 std devs from this user's normal amount
2025-04-25 12:00:00,user_18,Revenue,16181.099262068363,transaction,12,1.0,1100.3265175287272,1919.0086460882835,7.858626783824219,-1,0.7643573495199845,amount is 7.9 std devs from this user's normal amount
2025-04-08 14:00:00,user_5,AP,13469.425762602108,transaction,14,1.0,968.9401420054244,1343.109423559971,9.307123754268355,-1,0.7625555644354988,amount is 9.3 std devs from this user's normal amount
2025-05-31 18:00:00,user_16,Cash,11816.168359800055,transaction,18,7.0,1193.6570108059707,1922.4671577177344,5.525457902544689,-1,0.7599398904471957,amount is 5.5 std devs from this user's normal amount
